id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Poblacion e infraestructura,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"La infraestructura basica necesaria para sostener a una poblacion determinada, desde precarios modulos habitacionales orbitales hasta megaciudades, y todo lo que hay entremedias.",100,
farming,Agricultura,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"La agricultura es un oficio y una tecnologia tan antiguos como la propia civilizacion; durante miles de ciclos, la Humanidad ha aprovechado el poder de maquinas biologicas naturales, modificadas y artificiales para alimentarse. Asi ha sido siempre, y asi sera mientras los humanos sigan siendo humanos.",200,LOW
aquaculture,Acuicultura,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"La agricultura en un mundo acuatico exige una inversion inicial considerable en bioingenieria de especies adecuadas, pero una vez en marcha, la poblacion puede gestionar los cultivos de algas y las pesquerias sin necesidad de mucha formacion especializada ni equipo.",210,MEDIUM
mining,Mineria,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"Los minerales metalicos y metaloides, los compuestos organicos y los volatiles requieren equipo pesado, infraestructura especializada y mano de obra cualificada para su extraccion. Este trabajo tan duro atrae a cierto tipo de gente, y una administracion que no este dispuesta a hacer la vista gorda de vez en cuando puede acabar escasa de personal dispuesto a trabajar.",300,MEDIUM
techmining,Tecnomineria,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"La tecnomineria es el variopinto arte de recuperar objetos valiosos de las ruinas del Dominio. Requiere herramientas especiales para lidiar con peligros singulares y buen juicio para saber donde buscar un buen botin de baratijas. Los tecnomineros mas veteranos son gente rara, que se aferran a amuletos de la suerte y se niegan a trabajar sin sus rituales.",400,MEDIUM
refining,Refineria,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,"Las plantas de fundicion de aqui convierten los minerales y los minerales transplutonicos en metales y transplutonicos, respectivamente. Por lo general, se emplea robotica teleoperada para las tareas mas peligrosas.",500,MEDIUM
spaceport,Puerto espacial,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,Instalaciones para cargar y descargar mercancias y realizar reparaciones basicas de naves. Una colonia sin puerto espacial resulta practicamente inaccesible para el comercio interestelar.,150,HIGH
megaport,Megapuerto,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Un vasto puerto espacial donde las estrellas tocan la tierra. Torres de descenso dispuestas en formacion y tanques de combustible blindados se entrelazan mediante vias de acceso y tranvias de carga de corto recorrido que alimentan una extensa red de distritos de almacenes y terminales logisticas, lo que hace la colonia mucho mas accesible.",151,EXTREME
lightindustry,Industria ligera,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,"Produce bienes domesticos y de lujo. Una de las pocas industrias relativamente indemnes al Colapso, gracias a su caracter de baja tecnologia.",1400,MEDIUM
heavyindustry,Industria pesada,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infraestructura de fabricacion centralizada para la produccion de maquinaria industrial pesada, suministros y armas. Tambien puede producir naves apenas aptas para el vuelo espacial; se puede instalar una nanoforja para mejorar la calidad de produccion.",1600,HIGH
orbitalworks,Planta orbital,60,150,,12,heavyindustry,,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/orbital_works.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infraestructura de fabricacion centralizada para la produccion de maquinaria industrial pesada, suministros y armas. Tambien puede producir naves apenas aptas para el vuelo espacial; se puede instalar una nanoforja para mejorar la calidad de produccion.

Mejorada con un componente orbital que facilita aun mas la construccion de naves, lo que reduce los defectos de fabricacion.",1700,HIGH
fuelprod,Produccion de combustible,90,120,,10,,,"fuelprod, industry, industrial",,graphics/icons/industry/fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"Esta instalacion produce combustible para naves, la savia vital de la civilizacion interestelar. Al carecer de componentes de tecnologia del Dominio, la produccion de combustible es un proceso laborioso y lento.",1800,HIGH
#advfuelprod,Produccion de combustible avanzada,120,60,,5,fuelprod,,fuelprod,,graphics/icons/industry/advanced_fuel_production.png,com.fs.starfarer.api.impl.campaign.econ.impl.FuelProduction,"Una instalacion descomunal de tecnologia del Dominio produce combustible para naves, la savia vital de la civilizacion interestelar.",1900,
commerce,Comercio,90,90,,3,,,"industry, urban",,graphics/icons/industry/commerce.png,com.fs.starfarer.api.impl.campaign.econ.impl.TradeCenter,"Normativas, subvenciones e infraestructura para fomentar un comercio independiente prospero. Reduce en gran medida el grado de control directo que la administracion ejerce sobre la colonia.",1950,MEDIUM
station_base,Estacion orbital,,,,,,,"station, parent_item, important, structure",station,graphics/icons/industry/station_category.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion espacial capaz de dar apoyo a flotas aliadas cerca de $marketName, que debe ser reducida antes de poder intentar un bombardeo.

Existen varias variantes, cuyas diferencias residen sobre todo en el planteamiento tactico y no en la fuerza global.",2000,
orbitalstation,Estacion orbital - baja tecnologia,50,90,,3,,battlestation,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion espacial de baja tecnologia, con blindaje pesado y potencia de fuego media.

Debe ser reducida antes de poder intentar un bombardeo.",2010,
battlestation,Estacion de combate - baja tecnologia,100,120,,4,orbitalstation,starfortress,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion espacial, reforzada con un bastion pesado y ciudadelas de defensa de punto.

Debe ser reducida antes de poder intentar un bombardeo.",2020,
starfortress,Fortaleza estelar - baja tecnologia,200,180,,5,battlestation,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion de combate con blindaje reforzado, equipada con drones defensivos de clase Merlon y un extenso campo de minas.

Debe ser reducida antes de poder intentar un bombardeo.",2030,
orbitalstation_mid,Estacion orbital - tecnologia media,50,90,,3,,battlestation_mid,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_midline_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion espacial de tecnologia media, con gran potencia de fuego en un lado y rapida rotacion axial.

Debe ser reducida antes de poder intentar un bombardeo.",2040,
battlestation_mid,Estacion de combate - tecnologia media,100,120,,4,orbitalstation_mid,starfortress_mid,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_midline_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion espacial, reforzada con modulos de apoyo de misiles.

Debe ser reducida antes de poder intentar un bombardeo.",2050,
starfortress_mid,Fortaleza estelar - tecnologia media,200,180,,5,battlestation_mid,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_midline_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion de combate con blindaje reforzado, equipada con drones defensivos de clase Ravelin y un extenso campo de minas.

Debe ser reducida antes de poder intentar un bombardeo.",2060,
orbitalstation_high,Estacion orbital - alta tecnologia,50,90,,3,,battlestation_high,"station, sub_item, unraidable, structure","{
radius:55,
variant:station1_hightech_Standard,
fleetName:Orbital Station,
}",graphics/icons/industry/orbital_station.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion espacial de alta tecnologia, con escudos giratorios reforzados, dotacion de cazas y potencia de fuego media.

Debe ser reducida antes de poder intentar un bombardeo.",2070,
