id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Irse,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",Una baliza de advertencia autonoma ha quedado emitiendo un lamento distorsionado entre los canales oficiales. Cualquier mensaje que pretendiera transmitir se ha corrompilla.,beaconLeave:Irse,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Esta baliza de advertencia autonoma emite un mensaje en bucle.

""PELIGRO: Se sabe que este sistema estelar contiene sistemas de armas autonomos potencialmente activos. El acceso a este sistema por parte de partes no autorizadas esta prohibido por el edicto 224.34 de la Armada de la Hegemonia"".",beaconLeave:Irse,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Esta baliza de advertencia autonoma emite un mensaje en bucle.

""PELIGRO: Se sabe que este sistema estelar contiene sistemas de armas autonomos potencialmente activos. El acceso a este sistema por parte de partes no autorizadas esta prohibido por el edicto 224.34 de la Armada de la Hegemonia"".",beaconLeave:Irse,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Esta baliza de advertencia autonoma emite un mensaje en bucle.

""PELIGRO: Se sabe que este sistema estelar contiene sistemas de armas autonomos potencialmente activos. El acceso a este sistema por parte de partes no autorizadas esta prohibido por el edicto 224.34 de la Armada de la Hegemonia"".",beaconLeave:Irse,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Esta baliza de advertencia autonoma emite un mensaje en bucle.

""Este mundo esta corrompido por el pecado tecnologico y su abominacion es testimonio del resultado de desviarse del camino de la virtud. El paso esta prohibido. Todo aquel que desprecie esta advertencia quedara tanto corrompido en cuerpo como fuera de la ley por la santa justicia impuesta por esta orden de los Caballeros de Ludd"".",beaconLeave:Irse,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","Un anillo silencioso de material adamantino, el pecio de una era pasada.

El Portal esta inerte.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Ante ti, vasta y potente, cuelga un anillo de adamantina, el pecio de una era pasada.

Has escaneado este Portal y has descubierto el ritmo del corazon secreto de la estructura, oculto en un pliegue del espacio. Usar el Dispositivo Janus para crear un puente hacia otro Portal requiere una cantidad masiva de combustible. Cuanto mas distante sea el objetivo, mas combustible se requiere.

El Dispositivo Janus funciona transfiriendo enormes cantidades de energia con una fase peculiar, mediante el campo del hipermotor de una nave de cabeza, para estabilizar una conexion directa entre portales.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Ante ti, vasto y potente, cuelga un anillo de adamantina, el pecio de una era pasada.

Has escaneado este Portal y has descubierto el ritmo del corazon secreto de la estructura, oculto en un pliegue del espacio. Usar el Dispositivo Janus para crear un puente hacia otro Portal requiere una cantidad masiva de combustible. Cuanto mas distante sea el objetivo, mas combustible se requerira.

Debes integrar el Dispositivo Janus en tu flota para poder usar el Portal.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anillo silencioso de material adamantino, el pecio de una era pasada.

Tu oficial de sensores asiente ante tu senal. Tu interfaz de mando se ilumina. ""EJECUTAR ESCANEO"" parpadea con expectacion. El Portal aguarda, tan frio como una tumba.",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anillo silencioso de material adamantino, un pecio de una era pasada.

Has escaneado este Portal y has descubierto el ritmo del corazon secreto de la estructura, oculto en un pliegue del espacio.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anillo silencioso de material adamantino, el pecio de una era pasada.

Su oficial de sensores le asiente; el escaner de hiperonda esta listo. Las palabras ""EJECUTAR ESCANEO"" parpadean con expectacion en su interfaz de mando.

Necesitara un escaneo de este Portal para poder usarlo, con el Dispositivo Janus, como punto de acceso o salida de la red de Portales.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","Ordenas a tu $shipOrFleet atravesar el Portal muerto. La tripulacion de tu puente esta especialmente silenciosa durante el paso.

No ocurre nada.",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","La pantalla de mando muestra una representacion del flujo de hiperespacio que rodea el Portal. Se ve calmado y frio, sin estelas de propulsion.

Al empezar el escaneo, observas una linea de perturbacion que surge entre el icono de tu nave insignia y el del Portal. Espirales y ondas se desplazan en formas no newtonianas, brotando de un punto en el centro del Portal. No, no es un punto: es un circulo, una esfera, un toro y un embudo invertido; luego otra forma que te obliga a cerrar los ojos. Oyes una musica tenue a lo lejos.

-Capitan? -tu oficial de sensores te mira-. El escaneo ha terminado. Te das cuenta de que es la segunda vez que dice lo mismo, y haces un gesto como si simplemente estuvieras absorto en tus pensamientos.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","La pantalla de mando muestra una representacion del multiple del hiperespacio. Esta tranquilo y frio.

El escaneo comienza, una linea de perturbacion brilla entre tu nave insignia y el Portal. Espirales y ondas se desbordan y surgen en rafagas no newtonianas desde un punto en el centro del Portal. No, no un punto; un circulo, una esfera, un toro y un embudo invertido; luego una geometria que no se puede interpretar.

Oyes una musica tenue.

-Capitan -informa tu oficial de sensores-, el escaneo ha terminado.",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","La pantalla de mando muestra el complejo de hiperespacio. Esta tranquilo y sereno.

El haz de escaneo brilla en la pantalla hiperdimensional. Espirales y ondas brotan en rafagas del Portal, expandiendose hacia una geometria inconcebible. Se oye un leve rastro de musica.

-Capitan -informa su oficial de sensores-, el escaneo ha terminado.",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:Volar a traves del Portal,
