id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"Una categoria de armas antiguas de bajo coste y disparo rapido, facilmente disponibles, que se han utilizado con eficacia contra misiles y cazas a corta distancia a lo largo de la historia del combate espacial. Casi inutiles contra objetivos debidamente blindados.

Debido a su facilidad de fabricacion y modificacion, existen cientos de variantes. Cualquier arma de este tipo que dispare proyectiles inertes de propulsion quimica -facilmente producidos incluso por una autoforja rudimentaria- de un calibre determinado, se clasan como ametralladoras ligeras montadas en naves. Los mecanismos que accionan estas armas varian considerablemente.

Populares en pequenas naves civiles debido a su bajo coste. El nucleo denso de los proyectiles suele estar encamisado con un metal mas duro para ayudar a la alimentacion y la penetracion. Estos sistemas de armas entregan una cantidad sorprendentemente grande de energia cinetica a corta distancia a pesar de su diseno primitivo.",,,,,
lightdualmg,WEAPON,"Una version mejorada y de doble canon de la venerable ametralladora ligera. No es especialmente eficaz contra objetivos con mucho blindaje, pero ha destacado en su funcion de defensa antimisiles y contra cazas desde los albores del combate espacial humano.

Se trata de un montaje doble de la misma arma de proyectil quimico de bajo calibre, de disparo rapido e inerte, conocida por todo piloto y armero del Sector. Es un excelente montaje de defensa de punto, que sobresale tanto en la intercepcion de misiles como en la funcion anticafcas.

La gran cantidad de energia cinetica que se transmite a los sistemas de escudo de las naves enemigas a corta distancia suele provocar una sobrecarga de los emisores, una opcion tactica que los capitanes inexpertos suelen pasar por alto.",,,,,
lightmortar,WEAPON,"Un arma anticuada que lanza proyectiles antitanque con una baja cadencia de tiro, velocidad de boca y alcance. Su unica ventaja es la baja acumulacion de flujo.

Los planos de las armas de los morteros ligeros no estaban destinados en absoluto a las naves espaciales, pero una ingeniosa modificacion del mecanismo de carga por retrocarga permite su instalacion y uso fuera de un entorno atmosferico. En combate, el mortero ligero tiene un rendimiento deficiente contra objetivos que se mueven rapido o que tienen escudo debido a su pesima rotacion de montaje y cadencia de tiro. No obstante, se utiliza a menudo para entrenar a oficiales de artilleria novatos en los detalles mas finos de las tacticas y la nomenclatura de la balistica espacial.

Comunmente instalado en yates privados y vehiculos interplanetarios individuales debido a su baja masa y coste.",,,,,
heavymortar,WEAPON,"Un arma anticuada que dispara proyectiles antiblindaje mas grandes a una cadencia de tiro algo superior a la de su version mas pequena. La velocidad del proyectil es baja y el alcance efectivo es corto. La baja acumulacion de flujo es su unica ventaja.

El Mortero Pesado fue disenado originalmente para su uso en combate en la superficie planetaria. Con la intencion ostensible de romper fortificaciones militares, vio mucho mas uso en bombardeos urbanos. Sus robustos mecanismos internos permiten su instalacion y uso fuera de un entorno atmosferico con solo ajustes menores, notablemente la sustitucion del modulo automatico de telemetro y punteria. Cuando se emplea contra objetivos grandes, sin escudo y de movimiento lento, el mortero pesado puede resultar muy eficaz.",,,,,
vulcan,WEAPON,"Un sistema de armas de defensa de punto balistico de disparo rapido, especialmente devastador contra misiles y cazas a corta distancia. La precision disminuye drasticamente durante rafagas de fuego prolongadas.

Esta plataforma de armas multicanon esta construida en torno a un avanzado mecanismo de sincronizacion, fabricado habitualmente por nanoforjas autorizadas por la Hegemonia. Los proyectiles suelen estar recubiertos de uranio empobrecido y no son explosivos. La multiplicidad de canones permite una cadencia de tiro extremadamente alta, aunque con un elevado coste de flujo.",,,,,
lightac,WEAPON,"Un canon automatico de calibre pequeno con un buen alcance para un chasis tan ligero. Disenado para contrarrestar los escudos enemigos y especialmente efectivo contra los generadores mas debiles utilizados en cascos mas pequenos.

Presenta proyectiles cineticos de alta velocidad que proporcionan una excelente arma de apoyo de fuego para naves pequenas. Su baja velocidad de giro en el montaje, debido a un complejo cargador automatico y a la refrigeracion liquida, convierte al Light Autocannon en una mala opcion para la defensa contra cazas y misiles.",,,,,
lightdualac,WEAPON,"Una version de doble canon del Canon Ligero Automatico. Es una excelente arma para apoyo a corta distancia y muy eficaz para derribar escudos, pero su alcance efectivo es menor debido al alto retroceso.

Un ingenioso diseno mecanico evita que las ventanas de eyeccion se atasquen al expulsar el doble de casquillos gastados que el chasis estandar del Canon Ligero Automatico. Al igual que la version de un solo canon, este sistema de armas dispara proyectiles de alta velocidad disenados para perforar los escudos enemigos. El cargador automatico y los sistemas de refrigeracion liquida son, por lo demas, identicos a la version de un solo canon.",,,,,
lightag,WEAPON,"Un canon de pequeno calibre disenado para combates a corta distancia, excelente contra el blindaje y con una tasa de fuego soberbia.

Canon de pequeno calibre disenado para disparar proyectiles de alto explosivo. El diseno de los sistemas de refrigeracion y del cargador automatico enfatiza la seguridad y la prevencion de una deflagracion potencialmente causada por niveles altos de flujo. Favorecido por capitanes de destructores que tienen algo que demostrar.",,,,,
fragbomb,WEAPON,"Libera un grupo de bombas pequenas flotantes que mantienen el impulso de la nave lanzadora. Las bombas estan equipadas con una espoleta de proximidad.

Un proyector de bombas de fragmentacion dispara bombas de fragmentacion Mark VI desde tres tubos. Sin guia y sin sistema de propulsion, las bombas dependen de un sistema de identificacion amigo-enemigo. Su gran numero les permite cubrir una amplia zona del espacio, creando efectivamente una barrera de defensa de punto en ese lugar, aunque por un tiempo limitado. Cuando la espoleta de proximidad es activada por una nave enemiga, la bomba detona, logrando efectos similares a los de las armas de fragmentacion.",,,,,
clusterbomb,WEAPON,"Lanza un grupo de submuniciones de alto explosivo que flotan libremente. Mas eficaz contra objetivos sin escudo y de movimiento lento.

Un lanzador de bombas de racimo esta equipado con tres tubos disenados para disparar docenas de submuniciones Mark II de penetracion explosiva. Las submuniciones no son guiadas y carecen de sistema de propulsion, por lo que dependen del impulso inicial de la nave de ataque para alcanzar al objetivo. Estan equipadas con un escaner de identificacion amigo-enemigo y solo detonaran al impactar contra un objetivo apropiado. La carga explosiva de penetracion es muy eficaz contra objetivos sin escudo. La enorme cantidad de submuniciones que puede desplegar este sistema de armas es asombrosa y, como tal, convierte a la bomba de racimo en una util arma de denegacion de area.",,,,,
