event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Posible escasez de alimentos $onOrAt $market,El analisis de la inteligencia obtenida de comunicaciones interceptadas y otras fuentes sugiere que es probable que se produzca una escasez de alimentos $onOrAt $market en pocas semanas.,Aumento de los precios de los alimentos y reduccion de la estabilidad $onOrAt $market si se produce la escasez.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Probable escasez de alimentos $onOrAt $market,El analisis de la inteligencia obtenida de comunicaciones interceptadas y otras fuentes sugiere que es casi seguro que se produzca una escasez de alimentos $onOrAt $market en pocas semanas.,Aumento de los precios de los alimentos y reduccion de la estabilidad $onOrAt $market si se produce la escasez.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Probable escasez de alimentos $onOrAt $market,"Este informe indica que es casi seguro que se producira una escasez de alimentos $onOrAt $market, y advierte a las unidades de la zona sobre que medidas podrian tomarse para maximizar su impacto.","Es probable que se envie una flota de socorro desde un sistema estelar cercano; interceptarla prolongara la escasez y desestabilizara aun mas $market.

Vender alimentos en el mercado negro aumentara el descontento tras la escasez.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Probable escasez de alimentos $onOrAt $market,"Este informe indica que es casi seguro que se produzca una escasez de alimentos $onOrAt $market, y aconseja a las unidades que permanezcan a la espera para prestar asistencia.",Entregar suficiente alimento a $market rapidamente reducira la duracion y el impacto de la escasez.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Escasez de comida $onOrAt $market,"El informe analiza la escasez de alimentos $onOrAt $market y ofrece una perspectiva equilibrada, pero no logra senalar una causa especifica. El culpable mas probable parece ser un error en cascada en un sistema logistico en deterioro.","Aumento de los precios de los alimentos $onOrAt $market.

Estabilidad reducida en $stabilityPenalty.

Se necesitan aproximadamente $neededFood unidades de alimento para terminar con la escasez.
Es probable que se envie una flota de socorro desde un sistema estelar cercano.

El impacto en la reputacion al vender alimentos sera mayor. Vender alimentos en el mercado negro aumentara el descontento tras la escasez.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Escasez critica de alimentos $onOrAt $market,El informe indica que la escasez de alimentos en $onOrAt $market es inusualmente grave y acusa a la administracion de $theMarketFaction de precipitar una crisis humanitaria.,"Aumento de los precios de los alimentos $onOrAt $market.

Estabilidad reducida en $stabilityPenalty.

Se necesitan aproximadamente $neededFood unidades de alimento para terminar con la escasez.

Es probable que se envie una flota de socorro desde un sistema estelar cercano.

El impacto en la reputacion al vender alimentos sera mayor. Vender alimentos en el mercado negro aumentara el descontento tras la escasez.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Presunta escasez de alimentos $onOrAt $market,El informe niega rotundamente cualquier rumor de escasez de alimentos $onOrAt $market y anima a los ciudadanos responsables a cumplir con su deber denunciando a cualquiera que sea sospechoso de difundir rumores malintencionados.,"Aumento de los precios de los alimentos $onOrAt $market.

Estabilidad reducida en $stabilityPenalty.

Se necesitan aproximadamente $neededFood unidades de alimento para terminar con la escasez.

Es probable que se envie una flota de socorro desde un sistema estelar cercano.

El impacto en la reputacion al vender alimentos sera mayor. Vender alimentos en el mercado negro aumentara el descontento tras la escasez.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Escasez de alimentos $onOrAt $market: se esta organizando ayuda en $reliefMarket,"El analisis del trafico de comunicaciones indica que se esta organizando una flota de socorro en $reliefMarket, en el sistema $reliefSystem, que sera enviada a $market en un futuro proximo.","La flota transporta suficiente alimento para terminar con la escasez.

Si la flota no llega segun lo previsto, la situacion en $market se desestabilizara aun mas.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Escasez de alimentos $onOrAt $market: se esta organizando ayuda en $reliefMarket,"El informe indica que se esta organizando una flota de socorro en $reliefMarket, en el sistema $reliefSystem, y es probable que se ponga en marcha en pocas semanas.","La flota transporta suficiente alimento para terminar con la escasez.

Si la flota no llega segun lo previsto, la situacion en $market se desestabilizara aun mas.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Escasez de alimentos $onOrAt $market: se esta organizando ayuda en $reliefMarket,"El informe indica que se esta organizando una flota de socorro en $reliefMarket, en $reliefSystem, y es probable que zarpe en unos dias. Se recomienda a las unidades cercanas asegurar que la flota llegue a su destino sin incidentes.","La flota transporta suficiente alimento para terminar con la escasez.

Si la flota no llega segun lo previsto, la situacion en $market se desestabilizara aun mas.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_sent,,,news,Escasez de alimentos $onOrAt $market: ayuda enviada desde $reliefMarket,"Una flota de socorro esta en marcha desde $reliefMarket, en el sistema $reliefSystem, y deberia llegar a $marketSystem en $eta.","La flota transporta suficiente alimento para terminar con la escasez.

Si la flota no llega segun lo previsto, la situacion en $market se desestabilizara aun mas.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Escasez de alimentos $onOrAt $market: las condiciones empeoran,"Aunque al principio hubo especulaciones de que un mundo vecino podria enviar ayuda, parece que no habra tal asistencia.",El descontento aumento en $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Escasez de alimentos $onOrAt $market: la flota de ayuda ha sido rechazada,"La flota de socorro de $reliefMarket fue atacada de camino a $market, sufrio grandes perdidas y se vio obligada a dar media vuelta. La escasez de alimentos continua sin tregua.",El descontento aumento en $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,Escasez de alimentos $onOrAt $market: la flota de ayuda ha llegado,La flota de socorro de $reliefMarket ha llegado y la escasez de alimentos en $onOrAt $market ha terminado.,"El descontento aumento en $stabilityPenaltyEnd.

Los precios de los alimentos $onOrAt $market han vuelto a sus niveles normales.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,Escasez de alimentos $onOrAt $market: flota de ayuda perdida,La flota de socorro de $reliefMarket no llego a su destino y la escasez de alimentos continua sin tregua.,El descontento aumento en $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,Fin de la escasez de comida $onOrAt $market,"El informe indica que la escasez de alimentos $onOrAt $market ha terminado. Se atribuye el fin de la escasez a diversos factores, como el estricto racionamiento, las medidas de represion de disturbios y la llegada de varios comerciantes independientes.","El descontento aumento en $stabilityPenaltyExpire.
Los precios de los alimentos $onOrAt $market han vuelto a sus niveles normales.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,Fin de la escasez de comida $onOrAt $market,"El informe indica que la escasez de alimentos $onOrAt $market ha terminado. Se atribuye el fin de la escasez a la llegada de una flota de socorro al mando de $playerName, aunque un administrador local se apresuro a senalar sus propias contribuciones.","El descontento aumento en $stabilityPenaltyEnd.
Los precios de los alimentos $onOrAt $market han vuelto a sus niveles normales.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,Fin de la escasez de comida $onOrAt $market,"El informe indica que la escasez de alimentos $onOrAt $market ha terminado. Lamentablemente, gran parte de la distribucion de ayuda alimentaria fue gestionada por elementos criminales, lo que ha reforzado su posicion y ha socavado a las autoridades locales tanto financiera como socialmente.","El descontento ha aumentado en $stabilityPenaltyEndBlack.

Los precios de los alimentos $onOrAt $market han vuelto a sus niveles normales.",,graphics/icons/markets/food_shortage.png,,,
